fund,benchmark,n_months,IR,t_stat,ann_vol_fund,ann_vol_bench,tracking_error,hit_rate,up_capture,down_capture,cum_excess_pct,current_L,pct_h,ALARM,n_alarms,first_alarm
AIA Asia (Ex Japan) Equity Z USD,MSCI AC Asia Ex Japan NR USD,52,-1.1238,-2.3394,19.14,21.05,4.34,38.5,86.8,101.6,-17.66,19.3526,97.7,True,2,2023-03
Value Partners Hi-Div Stks A1 USD,MSCI AC Asia Ex Japan NR USD,284,0.1149,0.5589,18.22,19.95,9.64,47.5,83.5,68.1,39.29,19.1968,96.9,True,6,2005-07
JPM Asia Pacific Income A irc RMB Hdg,JPM Asia Credit TR USD [50.00%]; MSCI AC Asia Pac Ex JPN NR USD [50.00%],146,-0.131,-0.4571,13.59,11.62,5.37,52.7,104.0,112.2,-10.9,18.6543,94.2,True,4,2016-10
FSSA Asian Eq Plus I USD Inc,MSCI AC Asia Pac Ex JPN NR USD,274,0.1125,0.5377,16.47,19.55,6.12,54.4,85.8,74.1,32.84,18.6389,94.1,True,6,2007-09
Value Partners Hi-Div Stks A2 Mdis,MSCI AC Asia Ex Japan NR USD,164,-0.1902,-0.7033,16.17,17.13,5.78,44.5,88.2,88.0,-12.05,18.4718,93.2,True,5,2017-03
Capital Group New Pers (LUX) ZL,MSCI ACWI NR USD,247,0.3887,1.7637,15.83,15.77,3.38,55.1,102.8,96.4,30.71,18.2299,92.0,True,3,2016-12
Fidelity European Growth A-Dis-EUR,MSCI Europe NR EUR,329,0.244,1.2774,18.25,17.81,5.51,50.5,99.6,93.0,41.12,18.0693,91.2,True,9,2006-09
JPM Asia Pacific Income A acc USD,JPM Asia Credit TR USD [50.00%]; MSCI AC Asia Pac Ex JPN NR USD [50.00%],169,-0.1246,-0.4678,9.98,11.42,3.48,49.1,85.5,81.1,-3.86,18.0479,91.1,True,5,2017-02
BGF Asian Tiger Bond A2,JPM Asia Credit TR USD,169,-0.2731,-1.025,5.69,7.66,4.3,42.6,71.5,72.4,-13.6,17.9207,90.5,True,4,2018-01
JPM Asia Pacific Income A mth USD,JPM Asia Credit TR USD [50.00%]; MSCI AC Asia Pac Ex JPN NR USD [50.00%],168,-0.1251,-0.4679,9.87,11.32,3.48,50.0,85.5,80.5,-3.86,17.8186,89.9,True,5,2017-02
